index,unit1_rgb,unit2_pos,unit1_beam_32,unit1_beam_64
1,../../../Scenario6/unit1/camera_data/image268_20_20_21.jpg,"[0.8476434552647498, 0.04792332267645334]",4,6
2,../../../Scenario6/unit1/camera_data/image269_20_20_21.jpg,"[0.840599174975069, 0.04712460067913963]",2,4
3,../../../Scenario6/unit1/camera_data/image270_20_20_21.jpg,"[0.833554894685388, 0.04632587868182592]",3,5
4,../../../Scenario6/unit1/camera_data/image271_20_20_21.jpg,"[0.826510614395707, 0.04552715657100698]",3,5
5,../../../Scenario6/unit1/camera_data/image272_20_20_21.jpg,"[0.8194252196262171, 0.04552715657100698]",3,6
6,../../../Scenario6/unit1/camera_data/image273_20_20_22.jpg,"[0.812326120030124, 0.04552715657100698]",4,7
7,../../../Scenario6/unit1/camera_data/image274_20_20_22.jpg,"[0.8052133156171659, 0.04552715657100698]",4,8
8,../../../Scenario6/unit1/camera_data/image275_20_20_22.jpg,"[0.7980868063678668, 0.04552715657100698]",4,4
9,../../../Scenario6/unit1/camera_data/image276_20_20_22.jpg,"[0.7909602971283056, 0.04552715657100698]",4,7
10,../../../Scenario6/unit1/camera_data/image277_20_20_22.jpg,"[0.7838063782258006, 0.04552715657100698]",4,8
11,../../../Scenario6/unit1/camera_data/image278_20_20_22.jpg,"[0.7766524593427712, 0.04552715657100698]",5,9
12,../../../Scenario6/unit1/camera_data/image279_20_20_22.jpg,"[0.769484835613663, 0.04552715657100698]",4,8
13,../../../Scenario6/unit1/camera_data/image280_20_20_22.jpg,"[0.7623720312007048, 0.04552715657100698]",4,7
14,../../../Scenario6/unit1/camera_data/image281_20_20_23.jpg,"[0.7551495881749225, 0.04552715657100698]",5,9
15,../../../Scenario6/unit1/camera_data/image282_20_20_23.jpg,"[0.7479545548023462, 0.04632587868182592]",5,9
16,../../../Scenario6/unit1/camera_data/image283_20_20_23.jpg,"[0.7407732262563729, 0.04712460067913963]",5,8
17,../../../Scenario6/unit1/camera_data/image284_20_20_23.jpg,"[0.7335918977103997, 0.04792332267645334]",4,6
18,../../../Scenario6/unit1/camera_data/image285_20_20_23.jpg,"[0.7264379788176324, 0.04872204490077751]",5,9
19,../../../Scenario6/unit1/camera_data/image286_20_20_23.jpg,"[0.7192977647514682, 0.04952076689809122]",5,9
20,../../../Scenario6/unit1/camera_data/image287_20_20_23.jpg,"[0.7121575506755661, 0.04952076689809122]",6,10
21,../../../Scenario6/unit1/camera_data/image288_20_20_23.jpg,"[0.7048117642298323, 0.051118210779213406]",6,10
22,../../../Scenario6/unit1/camera_data/image289_20_20_24.jpg,"[0.6975756163774469, 0.05191693277652712]",6,11
23,../../../Scenario6/unit1/camera_data/image290_20_20_24.jpg,"[0.6903394685347994, 0.05271565500085129]",6,10
24,../../../Scenario6/unit1/camera_data/image291_20_20_24.jpg,"[0.6831170255090171, 0.05431309910898394]",6,11
25,../../../Scenario6/unit1/camera_data/image292_20_20_24.jpg,"[0.6759082873098378, 0.05511182110629765]",6,11
26,../../../Scenario6/unit1/camera_data/image293_20_20_24.jpg,"[0.6687132539372614, 0.055910543103611356]",6,11
27,../../../Scenario6/unit1/camera_data/image294_20_20_24.jpg,"[0.6615319253912882, 0.05670926532793553]",6,11
28,../../../Scenario6/unit1/camera_data/image295_20_20_24.jpg,"[0.6543505968453149, 0.05750798732524924]",6,11
29,../../../Scenario6/unit1/camera_data/image296_20_20_24.jpg,"[0.6470459248696523, 0.05910543131987666]",7,14
30,../../../Scenario6/unit1/camera_data/image297_20_20_25.jpg,"[0.6398645963236791, 0.060702875428009305]",7,14
31,../../../Scenario6/unit1/camera_data/image298_20_20_25.jpg,"[0.6326695629608406, 0.06230031964964718]",7,14
32,../../../Scenario6/unit1/camera_data/image299_20_20_25.jpg,"[0.6254334151084553, 0.0638977636442746]",8,14
33,../../../Scenario6/unit1/camera_data/image300_20_20_25.jpg,"[0.6181972672658077, 0.06549520775240726]",8,15
34,../../../Scenario6/unit1/camera_data/image301_20_20_25.jpg,"[0.6109200049336133, 0.06709265174703467]",8,15
35,../../../Scenario6/unit1/camera_data/image302_20_20_25.jpg,"[0.6036290377845538, 0.06789137374434838]",8,15
36,../../../Scenario6/unit1/camera_data/image303_20_20_25.jpg,"[0.5963243658088911, 0.06948881785248104]",8,16
37,../../../Scenario6/unit1/camera_data/image304_20_20_25.jpg,"[0.5889511697099513, 0.07108626207411892]",9,17
38,../../../Scenario6/unit1/camera_data/image305_20_20_26.jpg,"[0.5816602025608917, 0.07268370606874633]",9,17
39,../../../Scenario6/unit1/camera_data/image306_20_20_26.jpg,"[0.5743829402384352, 0.07348242817956527]",9,17
40,../../../Scenario6/unit1/camera_data/image307_20_20_26.jpg,"[0.5670919730893755, 0.0750798721741927]",10,18
41,../../../Scenario6/unit1/camera_data/image308_20_20_26.jpg,"[0.559801005940316, 0.0758785941715064]",10,18
42,../../../Scenario6/unit1/camera_data/image309_20_20_26.jpg,"[0.5525237436178594, 0.07747603839314428]",10,19
43,../../../Scenario6/unit1/camera_data/image310_20_20_26.jpg,"[0.5452327764687999, 0.07827476050396322]",10,20
44,../../../Scenario6/unit1/camera_data/image311_20_20_26.jpg,"[0.5379555141366054, 0.07907348250127694]",11,21
45,../../../Scenario6/unit1/camera_data/image312_20_20_26.jpg,"[0.5307056614673549, 0.08067092649590435]",11,20
46,../../../Scenario6/unit1/camera_data/image313_20_20_27.jpg,"[0.5233598750118832, 0.08146964849321807]",11,21
47,../../../Scenario6/unit1/camera_data/image314_20_20_27.jpg,"[0.5160140885661494, 0.08226837060403701]",11,21
48,../../../Scenario6/unit1/camera_data/image661_20_21_11.jpg,"[0.012197294663950798, 0.700479233300543]",30,59
49,../../../Scenario6/unit1/camera_data/image662_20_21_11.jpg,"[0.020132388614663047, 0.6996805113032292]",30,59
50,../../../Scenario6/unit1/camera_data/image663_20_21_11.jpg,"[0.028081187391978315, 0.6980830670815913]",30,60
51,../../../Scenario6/unit1/camera_data/image664_20_21_11.jpg,"[0.03602998615955572, 0.6972843450842776]",30,59
52,../../../Scenario6/unit1/camera_data/image665_20_21_11.jpg,"[0.04397878493687099, 0.6956869009761449]",29,57
53,../../../Scenario6/unit1/camera_data/image666_20_21_11.jpg,"[0.05217427056382704, 0.6948881789788313]",30,58
54,../../../Scenario6/unit1/camera_data/image667_20_21_12.jpg,"[0.06023270793449075, 0.6948881789788313]",29,57
55,../../../Scenario6/unit1/camera_data/image668_20_21_12.jpg,"[0.0683322597947014, 0.6948881789788313]",29,56
56,../../../Scenario6/unit1/camera_data/image669_20_21_12.jpg,"[0.0764592212983802, 0.6948881789788313]",28,55
57,../../../Scenario6/unit1/camera_data/image670_20_21_12.jpg,"[0.08461359244552719, 0.6948881789788313]",28,55
58,../../../Scenario6/unit1/camera_data/image671_20_21_12.jpg,"[0.09280907808222111, 0.6948881789788313]",28,54
59,../../../Scenario6/unit1/camera_data/image672_20_21_12.jpg,"[0.10101826853578019, 0.6948881789788313]",27,53
60,../../../Scenario6/unit1/camera_data/image673_20_21_12.jpg,"[0.1092548686425453, 0.6948881789788313]",27,54
61,../../../Scenario6/unit1/camera_data/image674_20_21_13.jpg,"[0.11751887840251646, 0.6940894569815176]",26,51
62,../../../Scenario6/unit1/camera_data/image676_20_21_13.jpg,"[0.13659599545638768, 0.6932907349842039]",26,51
63,../../../Scenario6/unit1/camera_data/image677_20_21_13.jpg,"[0.14617566845339447, 0.6924920127598797]",26,51
64,../../../Scenario6/unit1/camera_data/image678_20_21_13.jpg,"[0.15575534146013914, 0.691693290762566]",26,50
65,../../../Scenario6/unit1/camera_data/image679_20_21_13.jpg,"[0.165376128936955, 0.691693290762566]",25,50
66,../../../Scenario6/unit1/camera_data/image680_20_21_13.jpg,"[0.17499691641377088, 0.691693290762566]",25,49
67,../../../Scenario6/unit1/camera_data/image681_20_21_13.jpg,"[0.18468622802360185, 0.6900958466544334]",25,49
68,../../../Scenario6/unit1/camera_data/image682_20_21_14.jpg,"[0.1930598763866593, 0.6900958466544334]",24,48
69,../../../Scenario6/unit1/camera_data/image683_20_21_14.jpg,"[0.20143352474971676, 0.6900958466544334]",23,46
70,../../../Scenario6/unit1/camera_data/image684_20_21_14.jpg,"[0.2097797634595682, 0.6892971246571196]",23,46
