index,unit1_rgb,unit1_beam_32,unit1_beam_64
1,../../../Scenario9/unit1/camera_data/image_BS2_2680_16_45_05.jpg,8,2
2,../../../Scenario9/unit1/camera_data/image_BS2_2681_16_45_05.jpg,2,2
3,../../../Scenario9/unit1/camera_data/image_BS2_2682_16_45_06.jpg,2,2
4,../../../Scenario9/unit1/camera_data/image_BS2_2683_16_45_06.jpg,2,2
5,../../../Scenario9/unit1/camera_data/image_BS2_2684_16_45_06.jpg,2,3
6,../../../Scenario9/unit1/camera_data/image_BS2_2685_16_45_06.jpg,2,3
7,../../../Scenario9/unit1/camera_data/image_BS2_2686_16_45_06.jpg,3,6
8,../../../Scenario9/unit1/camera_data/image_BS2_2687_16_45_06.jpg,4,6
9,../../../Scenario9/unit1/camera_data/image_BS2_2688_16_45_06.jpg,5,9
10,../../../Scenario9/unit1/camera_data/image_BS2_2689_16_45_06.jpg,6,10
11,../../../Scenario9/unit1/camera_data/image_BS2_2690_16_45_06.jpg,6,11
12,../../../Scenario9/unit1/camera_data/image_BS2_2691_16_45_07.jpg,7,13
13,../../../Scenario9/unit1/camera_data/image_BS2_2692_16_45_07.jpg,9,17
14,../../../Scenario9/unit1/camera_data/image_BS2_2693_16_45_07.jpg,9,17
15,../../../Scenario9/unit1/camera_data/image_BS2_2694_16_45_07.jpg,11,20
16,../../../Scenario9/unit1/camera_data/image_BS2_2695_16_45_07.jpg,11,22
17,../../../Scenario9/unit1/camera_data/image_BS2_2696_16_45_07.jpg,12,23
18,../../../Scenario9/unit1/camera_data/image_BS2_2697_16_45_07.jpg,14,26
19,../../../Scenario9/unit1/camera_data/image_BS2_2698_16_45_07.jpg,15,29
20,../../../Scenario9/unit1/camera_data/image_BS2_2699_16_45_07.jpg,15,29
21,../../../Scenario9/unit1/camera_data/image_BS2_2700_16_45_08.jpg,17,33
22,../../../Scenario9/unit1/camera_data/image_BS2_2701_16_45_08.jpg,19,34
23,../../../Scenario9/unit1/camera_data/image_BS2_2702_16_45_08.jpg,19,37
24,../../../Scenario9/unit1/camera_data/image_BS2_2703_16_45_08.jpg,20,39
25,../../../Scenario9/unit1/camera_data/image_BS2_2704_16_45_08.jpg,20,39
26,../../../Scenario9/unit1/camera_data/image_BS2_2705_16_45_08.jpg,22,42
27,../../../Scenario9/unit1/camera_data/image_BS2_2706_16_45_08.jpg,22,44
28,../../../Scenario9/unit1/camera_data/image_BS2_2707_16_45_08.jpg,23,45
29,../../../Scenario9/unit1/camera_data/image_BS2_2708_16_45_08.jpg,24,47
30,../../../Scenario9/unit1/camera_data/image_BS2_2709_16_45_09.jpg,24,48
31,../../../Scenario9/unit1/camera_data/image_BS2_2710_16_45_09.jpg,25,49
32,../../../Scenario9/unit1/camera_data/image_BS2_2711_16_45_09.jpg,26,51
33,../../../Scenario9/unit1/camera_data/image_BS2_2712_16_45_09.jpg,27,54
34,../../../Scenario9/unit1/camera_data/image_BS2_2713_16_45_09.jpg,28,54
35,../../../Scenario9/unit1/camera_data/image_BS2_2714_16_45_09.jpg,28,55
36,../../../Scenario9/unit1/camera_data/image_BS2_2715_16_45_09.jpg,28,55
37,../../../Scenario9/unit1/camera_data/image_BS2_2716_16_45_09.jpg,29,58
38,../../../Scenario9/unit1/camera_data/image_BS2_2717_16_45_09.jpg,30,59
39,../../../Scenario9/unit1/camera_data/image_BS2_2718_16_45_10.jpg,30,60
40,../../../Scenario9/unit1/camera_data/image_BS2_2719_16_45_10.jpg,31,61
41,../../../Scenario9/unit1/camera_data/image_BS2_2720_16_45_10.jpg,31,62
42,../../../Scenario9/unit1/camera_data/image_BS2_2721_16_45_10.jpg,31,62
43,../../../Scenario9/unit1/camera_data/image_BS2_2722_16_45_10.jpg,31,62
44,../../../Scenario9/unit1/camera_data/image_BS2_2723_16_45_10.jpg,31,62
45,../../../Scenario9/unit1/camera_data/image_BS2_2724_16_45_10.jpg,32,62
46,../../../Scenario9/unit1/camera_data/image_BS2_3033_16_45_45.jpg,2,2
47,../../../Scenario9/unit1/camera_data/image_BS2_3034_16_45_45.jpg,2,2
48,../../../Scenario9/unit1/camera_data/image_BS2_3035_16_45_45.jpg,2,2
49,../../../Scenario9/unit1/camera_data/image_BS2_3036_16_45_45.jpg,2,4
50,../../../Scenario9/unit1/camera_data/image_BS2_3037_16_45_45.jpg,2,4
51,../../../Scenario9/unit1/camera_data/image_BS2_3038_16_45_45.jpg,3,6
52,../../../Scenario9/unit1/camera_data/image_BS2_3039_16_45_45.jpg,4,6
53,../../../Scenario9/unit1/camera_data/image_BS2_3040_16_45_45.jpg,5,8
54,../../../Scenario9/unit1/camera_data/image_BS2_3041_16_45_45.jpg,6,10
55,../../../Scenario9/unit1/camera_data/image_BS2_3042_16_45_46.jpg,7,13
56,../../../Scenario9/unit1/camera_data/image_BS2_3043_16_45_46.jpg,8,14
57,../../../Scenario9/unit1/camera_data/image_BS2_3044_16_45_46.jpg,9,17
58,../../../Scenario9/unit1/camera_data/image_BS2_3045_16_45_46.jpg,10,19
59,../../../Scenario9/unit1/camera_data/image_BS2_3046_16_45_46.jpg,11,21
60,../../../Scenario9/unit1/camera_data/image_BS2_3047_16_45_46.jpg,12,22
61,../../../Scenario9/unit1/camera_data/image_BS2_3048_16_45_46.jpg,13,26
62,../../../Scenario9/unit1/camera_data/image_BS2_3049_16_45_46.jpg,15,28
63,../../../Scenario9/unit1/camera_data/image_BS2_3050_16_45_46.jpg,16,31
64,../../../Scenario9/unit1/camera_data/image_BS2_3051_16_45_47.jpg,17,34
65,../../../Scenario9/unit1/camera_data/image_BS2_3052_16_45_47.jpg,19,37
66,../../../Scenario9/unit1/camera_data/image_BS2_3053_16_45_47.jpg,20,39
67,../../../Scenario9/unit1/camera_data/image_BS2_3054_16_45_47.jpg,20,40
68,../../../Scenario9/unit1/camera_data/image_BS2_3055_16_45_47.jpg,22,43
69,../../../Scenario9/unit1/camera_data/image_BS2_3056_16_45_47.jpg,23,45
70,../../../Scenario9/unit1/camera_data/image_BS2_3057_16_45_47.jpg,24,47
71,../../../Scenario9/unit1/camera_data/image_BS2_3058_16_45_47.jpg,25,49
72,../../../Scenario9/unit1/camera_data/image_BS2_3059_16_45_47.jpg,26,51
73,../../../Scenario9/unit1/camera_data/image_BS2_3060_16_45_48.jpg,27,54
74,../../../Scenario9/unit1/camera_data/image_BS2_3061_16_45_48.jpg,28,55
75,../../../Scenario9/unit1/camera_data/image_BS2_3062_16_45_48.jpg,29,57
76,../../../Scenario9/unit1/camera_data/image_BS2_3063_16_45_48.jpg,30,59
77,../../../Scenario9/unit1/camera_data/image_BS2_3064_16_45_48.jpg,30,59
78,../../../Scenario9/unit1/camera_data/image_BS2_3065_16_45_48.jpg,31,60
79,../../../Scenario9/unit1/camera_data/image_BS2_3066_16_45_48.jpg,31,62
80,../../../Scenario9/unit1/camera_data/image_BS2_3067_16_45_48.jpg,31,62
81,../../../Scenario9/unit1/camera_data/image_BS2_3068_16_45_48.jpg,31,62
82,../../../Scenario9/unit1/camera_data/image_BS2_3069_16_45_49.jpg,31,62
83,../../../Scenario9/unit1/camera_data/image_BS2_3070_16_45_49.jpg,32,62
84,../../../Scenario9/unit1/camera_data/image_BS2_3290_16_46_13.jpg,2,2
85,../../../Scenario9/unit1/camera_data/image_BS2_3291_16_46_13.jpg,2,2
86,../../../Scenario9/unit1/camera_data/image_BS2_3292_16_46_13.jpg,2,2
87,../../../Scenario9/unit1/camera_data/image_BS2_3293_16_46_13.jpg,2,4
88,../../../Scenario9/unit1/camera_data/image_BS2_3294_16_46_14.jpg,3,6
89,../../../Scenario9/unit1/camera_data/image_BS2_3295_16_46_14.jpg,4,7
90,../../../Scenario9/unit1/camera_data/image_BS2_3296_16_46_14.jpg,6,10
91,../../../Scenario9/unit1/camera_data/image_BS2_3297_16_46_14.jpg,7,13
92,../../../Scenario9/unit1/camera_data/image_BS2_3298_16_46_14.jpg,9,17
93,../../../Scenario9/unit1/camera_data/image_BS2_3299_16_46_14.jpg,9,17
94,../../../Scenario9/unit1/camera_data/image_BS2_3300_16_46_14.jpg,11,21
95,../../../Scenario9/unit1/camera_data/image_BS2_3301_16_46_14.jpg,12,23
96,../../../Scenario9/unit1/camera_data/image_BS2_3302_16_46_14.jpg,14,26
97,../../../Scenario9/unit1/camera_data/image_BS2_3303_16_46_15.jpg,15,29
98,../../../Scenario9/unit1/camera_data/image_BS2_3304_16_46_15.jpg,17,34
99,../../../Scenario9/unit1/camera_data/image_BS2_3305_16_46_15.jpg,19,36
100,../../../Scenario9/unit1/camera_data/image_BS2_3306_16_46_15.jpg,20,39
101,../../../Scenario9/unit1/camera_data/image_BS2_3307_16_46_15.jpg,21,41
102,../../../Scenario9/unit1/camera_data/image_BS2_3308_16_46_15.jpg,22,44
103,../../../Scenario9/unit1/camera_data/image_BS2_3309_16_46_15.jpg,24,47
104,../../../Scenario9/unit1/camera_data/image_BS2_3310_16_46_15.jpg,25,49
105,../../../Scenario9/unit1/camera_data/image_BS2_3311_16_46_15.jpg,26,51
106,../../../Scenario9/unit1/camera_data/image_BS2_3312_16_46_16.jpg,27,53
107,../../../Scenario9/unit1/camera_data/image_BS2_3313_16_46_16.jpg,28,55
108,../../../Scenario9/unit1/camera_data/image_BS2_3314_16_46_16.jpg,28,55
109,../../../Scenario9/unit1/camera_data/image_BS2_3315_16_46_16.jpg,30,58
110,../../../Scenario9/unit1/camera_data/image_BS2_3316_16_46_16.jpg,30,59
111,../../../Scenario9/unit1/camera_data/image_BS2_3317_16_46_16.jpg,31,60
112,../../../Scenario9/unit1/camera_data/image_BS2_3318_16_46_16.jpg,31,62
113,../../../Scenario9/unit1/camera_data/image_BS2_3319_16_46_16.jpg,31,62
114,../../../Scenario9/unit1/camera_data/image_BS2_3320_16_46_16.jpg,32,62
