index,unit1_rgb,unit1_beam_32,unit1_beam_64
4149,../../../Scenario9/unit1/camera_data/image_BS2_33986_17_43_06.jpg,12,10
2305,../../../Scenario9/unit1/camera_data/image_BS2_20940_17_18_55.jpg,4,8
5098,../../../Scenario9/unit1/camera_data/image_BS2_41658_17_57_19.jpg,14,26
998,../../../Scenario9/unit1/camera_data/image_BS2_10155_16_58_56.jpg,29,57
3101,../../../Scenario9/unit1/camera_data/image_BS2_26663_17_29_32.jpg,6,11
3045,../../../Scenario9/unit1/camera_data/image_BS2_26099_17_28_29.jpg,31,62
3268,../../../Scenario9/unit1/camera_data/image_BS2_27642_17_31_20.jpg,31,62
3254,../../../Scenario9/unit1/camera_data/image_BS2_27628_17_31_19.jpg,22,44
3266,../../../Scenario9/unit1/camera_data/image_BS2_27640_17_31_20.jpg,30,60
764,../../../Scenario9/unit1/camera_data/image_BS2_8776_16_56_23.jpg,3,6
5185,../../../Scenario9/unit1/camera_data/image_BS2_42233_17_58_23.jpg,16,31
3683,../../../Scenario9/unit1/camera_data/image_BS2_30679_17_36_58.jpg,4,7
1574,../../../Scenario9/unit1/camera_data/image_BS2_15554_17_08_57.jpg,18,34
4577,../../../Scenario9/unit1/camera_data/image_BS2_37439_17_49_30.jpg,28,55
309,../../../Scenario9/unit1/camera_data/image_BS2_5069_16_49_31.jpg,16,32
4601,../../../Scenario9/unit1/camera_data/image_BS2_37690_17_49_57.jpg,13,25
1892,../../../Scenario9/unit1/camera_data/image_BS2_18080_17_13_37.jpg,15,29
2050,../../../Scenario9/unit1/camera_data/image_BS2_19326_17_15_56.jpg,4,6
1405,../../../Scenario9/unit1/camera_data/image_BS2_14062_17_06_11.jpg,18,34
3680,../../../Scenario9/unit1/camera_data/image_BS2_30676_17_36_58.jpg,2,4
3773,../../../Scenario9/unit1/camera_data/image_BS2_31281_17_38_05.jpg,14,27
1652,../../../Scenario9/unit1/camera_data/image_BS2_15963_17_09_42.jpg,30,59
2378,../../../Scenario9/unit1/camera_data/image_BS2_21272_17_19_32.jpg,31,62
170,../../../Scenario9/unit1/camera_data/image_BS2_3924_16_47_24.jpg,20,38
2949,../../../Scenario9/unit1/camera_data/image_BS2_25732_17_27_48.jpg,2,2
4253,../../../Scenario9/unit1/camera_data/image_BS2_35234_17_45_24.jpg,3,5
269,../../../Scenario9/unit1/camera_data/image_BS2_4783_16_48_59.jpg,9,16
2346,../../../Scenario9/unit1/camera_data/image_BS2_21240_17_19_29.jpg,6,11
2499,../../../Scenario9/unit1/camera_data/image_BS2_22256_17_21_22.jpg,20,40
3647,../../../Scenario9/unit1/camera_data/image_BS2_30388_17_36_26.jpg,11,20
3068,../../../Scenario9/unit1/camera_data/image_BS2_26403_17_29_03.jpg,15,29
384,../../../Scenario9/unit1/camera_data/image_BS2_5706_16_50_42.jpg,6,11
1885,../../../Scenario9/unit1/camera_data/image_BS2_18073_17_13_37.jpg,8,14
344,../../../Scenario9/unit1/camera_data/image_BS2_5367_16_50_04.jpg,11,22
5093,../../../Scenario9/unit1/camera_data/image_BS2_41653_17_57_18.jpg,9,17
2399,../../../Scenario9/unit1/camera_data/image_BS2_21577_17_20_06.jpg,9,17
3664,../../../Scenario9/unit1/camera_data/image_BS2_30405_17_36_28.jpg,28,55
286,../../../Scenario9/unit1/camera_data/image_BS2_4800_16_49_01.jpg,28,55
2000,../../../Scenario9/unit1/camera_data/image_BS2_18714_17_14_48.jpg,32,62
4486,../../../Scenario9/unit1/camera_data/image_BS2_36918_17_48_32.jpg,15,29
1118,../../../Scenario9/unit1/camera_data/image_BS2_11128_17_00_44.jpg,18,34
80,../../../Scenario9/unit1/camera_data/image_BS2_3067_16_45_48.jpg,31,62
3058,../../../Scenario9/unit1/camera_data/image_BS2_26393_17_29_02.jpg,6,11
1538,../../../Scenario9/unit1/camera_data/image_BS2_15267_17_08_25.jpg,26,51
5028,../../../Scenario9/unit1/camera_data/image_BS2_40828_17_55_46.jpg,28,55
1376,../../../Scenario9/unit1/camera_data/image_BS2_13779_17_05_39.jpg,30,59
575,../../../Scenario9/unit1/camera_data/image_BS2_7142_16_53_21.jpg,8,2
3344,../../../Scenario9/unit1/camera_data/image_BS2_28259_17_32_29.jpg,17,33
1910,../../../Scenario9/unit1/camera_data/image_BS2_18098_17_13_39.jpg,30,59
3384,../../../Scenario9/unit1/camera_data/image_BS2_28550_17_33_01.jpg,11,22
1577,../../../Scenario9/unit1/camera_data/image_BS2_15557_17_08_57.jpg,21,40
1601,../../../Scenario9/unit1/camera_data/image_BS2_15912_17_09_36.jpg,2,3
3732,../../../Scenario9/unit1/camera_data/image_BS2_30970_17_37_30.jpg,11,21
5285,../../../Scenario9/unit1/camera_data/image_BS2_43227_18_00_13.jpg,28,55
882,../../../Scenario9/unit1/camera_data/image_BS2_9466_16_57_40.jpg,14,26
126,../../../Scenario9/unit1/camera_data/image_BS2_3593_16_46_47.jpg,8,14
3436,../../../Scenario9/unit1/camera_data/image_BS2_28876_17_33_38.jpg,19,37
235,../../../Scenario9/unit1/camera_data/image_BS2_4501_16_48_28.jpg,11,21
3661,../../../Scenario9/unit1/camera_data/image_BS2_30402_17_36_27.jpg,25,49
608,../../../Scenario9/unit1/camera_data/image_BS2_7175_16_53_25.jpg,24,47
387,../../../Scenario9/unit1/camera_data/image_BS2_5709_16_50_42.jpg,8,16
4876,../../../Scenario9/unit1/camera_data/image_BS2_39490_17_53_18.jpg,31,62
900,../../../Scenario9/unit1/camera_data/image_BS2_9484_16_57_42.jpg,28,55
367,../../../Scenario9/unit1/camera_data/image_BS2_5390_16_50_07.jpg,30,59
3017,../../../Scenario9/unit1/camera_data/image_BS2_26071_17_28_26.jpg,14,27
3598,../../../Scenario9/unit1/camera_data/image_BS2_30086_17_35_52.jpg,3,5
2734,../../../Scenario9/unit1/camera_data/image_BS2_23984_17_24_34.jpg,4,6
5859,../../../Scenario9/unit1/camera_data/image_BS2_47164_18_07_31.jpg,14,26
4733,../../../Scenario9/unit1/camera_data/image_BS2_38602_17_51_39.jpg,19,36
