index,unit1_rgb,unit2_pos,unit1_beam_32,unit1_beam_64
4149,../../../Scenario9/unit1/camera_data/image_BS2_33986_17_43_06.jpg,"[0.3810360292916876, 0.4560878244402564]",12,10
2305,../../../Scenario9/unit1/camera_data/image_BS2_20940_17_18_55.jpg,"[0.6823516220625327, 0.6467065868764531]",4,8
5098,../../../Scenario9/unit1/camera_data/image_BS2_41658_17_57_19.jpg,"[0.24768276274893833, 0.7539920159615884]",14,26
998,../../../Scenario9/unit1/camera_data/image_BS2_10155_16_58_56.jpg,"[0.6097137090762748, 0.48103792410711094]",29,57
3101,../../../Scenario9/unit1/camera_data/image_BS2_26663_17_29_32.jpg,"[0.6256353714966134, 0.798403193594091]",6,11
3045,../../../Scenario9/unit1/camera_data/image_BS2_26099_17_28_29.jpg,"[0.4741553296385414, 0.7485029940476445]",31,62
3268,../../../Scenario9/unit1/camera_data/image_BS2_27642_17_31_20.jpg,"[0.4214755568872813, 0.6671656687039694]",31,62
3254,../../../Scenario9/unit1/camera_data/image_BS2_27628_17_31_19.jpg,"[0.5154171027001454, 0.6272455089817175]",22,44
3266,../../../Scenario9/unit1/camera_data/image_BS2_27640_17_31_20.jpg,"[0.433043055767061, 0.6631736526891968]",30,60
764,../../../Scenario9/unit1/camera_data/image_BS2_8776_16_56_23.jpg,"[0.6298587232723707, 0.7979041916277005]",3,6
5185,../../../Scenario9/unit1/camera_data/image_BS2_42233_17_58_23.jpg,"[0.34594109731810874, 0.5928143713152341]",16,31
3683,../../../Scenario9/unit1/camera_data/image_BS2_30679_17_36_58.jpg,"[0.48088279263641703, 0.8992015967615893]",4,7
1574,../../../Scenario9/unit1/camera_data/image_BS2_15554_17_08_57.jpg,"[0.7828150695134091, 0.6836327345167131]",18,34
4577,../../../Scenario9/unit1/camera_data/image_BS2_37439_17_49_30.jpg,"[0.6044999252456181, 0.39720558886057156]",28,55
309,../../../Scenario9/unit1/camera_data/image_BS2_5069_16_49_31.jpg,"[0.7142136343152538, 0.6492015967793173]",16,32
4601,../../../Scenario9/unit1/camera_data/image_BS2_37690_17_49_57.jpg,"[0.6573852593832982, 0.32185628746814304]",13,25
1892,../../../Scenario9/unit1/camera_data/image_BS2_18080_17_13_37.jpg,"[0.715372252945764, 0.6322355289292708]",15,29
2050,../../../Scenario9/unit1/camera_data/image_BS2_19326_17_15_56.jpg,"[0.6849491702784783, 0.8093812375638033]",4,6
1405,../../../Scenario9/unit1/camera_data/image_BS2_14062_17_06_11.jpg,"[0.7659029750248928, 0.6796407185728529]",18,34
3680,../../../Scenario9/unit1/camera_data/image_BS2_30676_17_36_58.jpg,"[0.5006353714982732, 0.8982035928288086]",2,4
3773,../../../Scenario9/unit1/camera_data/image_BS2_31281_17_38_05.jpg,"[0.426745402900956, 0.6891217565015694]",14,27
1652,../../../Scenario9/unit1/camera_data/image_BS2_15963_17_09_42.jpg,"[0.6822768724807492, 0.6317365269628805]",30,59
2378,../../../Scenario9/unit1/camera_data/image_BS2_21272_17_19_32.jpg,"[0.441788757658988, 0.7420159680590952]",31,62
170,../../../Scenario9/unit1/camera_data/image_BS2_3924_16_47_24.jpg,"[0.6842016743809733, 0.620758482993168]",20,38
2949,../../../Scenario9/unit1/camera_data/image_BS2_25732_17_27_48.jpg,"[0.7651741665394315, 0.5474051896790383]",2,2
4253,../../../Scenario9/unit1/camera_data/image_BS2_35234_17_45_24.jpg,"[0.495346838085833, 0.5688622754393354]",3,5
269,../../../Scenario9/unit1/camera_data/image_BS2_4783_16_48_59.jpg,"[0.785169681558682, 0.6551896208014764]",9,16
2346,../../../Scenario9/unit1/camera_data/image_BS2_21240_17_19_29.jpg,"[0.6546755867747599, 0.7125748503401652]",6,11
2499,../../../Scenario9/unit1/camera_data/image_BS2_22256_17_21_22.jpg,"[0.19875915681757753, 0.5109780439342562]",20,40
3647,../../../Scenario9/unit1/camera_data/image_BS2_30388_17_36_26.jpg,"[0.457093735986458, 0.7594810378755321]",11,20
