index,unit2_pos,unit1_beam_32,unit1_beam_64
1,"[0.9681940499302971, 0.6851297406286216]",8,2
2,"[0.9614292121348906, 0.6846307385204063]",2,2
3,"[0.9547951861175641, 0.6856287425950119]",2,2
4,"[0.9477126625697014, 0.6841317365540159]",2,2
5,"[0.9404993272437588, 0.6826347305839324]",2,3
6,"[0.9332112423360327, 0.6806387225765461]",2,3
7,"[0.9258110330357139, 0.6786427144982473]",3,6
8,"[0.9182986993560805, 0.6766467067035984]",4,6
9,"[0.9106929286826201, 0.6741516966589092]",5,9
10,"[0.9029750336298451, 0.6711576846478297]",6,10
11,"[0.8951637015965211, 0.6686626746031405]",6,11
12,"[0.8873523695631972, 0.6676646706703598]",7,13
13,"[0.8791859769666079, 0.6676646706703598]",9,17
14,"[0.8710569591808278, 0.6676646706703598]",9,17
15,"[0.8629466287938131, 0.6676646706703598]",11,20
16,"[0.8548736731910511, 0.6676646706703598]",11,22
17,"[0.84683809238582, 0.6671656687039694]",12,23
18,"[0.8388211989793543, 0.6661676647002763]",14,26
19,"[0.8308229929716541, 0.6651696607674956]",15,29
20,"[0.8228621617482065, 0.66417165669289]",15,29
21,"[0.8146397069818774, 0.66417165669289]",17,33
22,"[0.8066041261766462, 0.6651696607674956]",19,34
23,"[0.798699357149495, 0.6651696607674956]",19,37
24,"[0.7909067125149365, 0.6656686627338859]",20,39
25,"[0.7832261922464142, 0.6656686627338859]",20,39
26,"[0.7756577963837628, 0.6661676647002763]",22,42
27,"[0.7682015248871477, 0.6656686627338859]",22,44
28,"[0.7608573777831252, 0.6656686627338859]",23,45
29,"[0.7536253550584172, 0.6651696607674956]",24,47
30,"[0.7466175811056163, 0.6651696607674956]",24,48
31,"[0.7398901180944625, 0.66417165669289]",25,49
32,"[0.7333121542734322, 0.6621756487564161]",26,51
33,"[0.72686500224376, 0.6601796407490298]",27,54
34,"[0.7205673493776551, 0.6571856288088627]",28,54
35,"[0.7144191956883955, 0.6531936128650024]",28,55
36,"[0.7084205411892595, 0.6492015967793173]",28,55
37,"[0.7025526984549251, 0.644211576831764]",29,58
38,"[0.6968530423094796, 0.6392215568842106]",30,59
39,"[0.6914523845044468, 0.6347305389030475]",30,60
40,"[0.6859022275358468, 0.6282435130563231]",31,61
41,"[0.6805202571295794, 0.6212574849595585]",31,62
42,"[0.6753064733122011, 0.6137724551091408]",31,62
43,"[0.6702608760571552, 0.6062874251168983]",31,62
44,"[0.6654021527897639, 0.5978043912627875]",31,62
45,"[0.6607116160847051, 0.5888223553004615]",32,62
46,"[0.8154058902648695, 0.6167664671202203]",2,2
47,"[0.8093324861706718, 0.6177644711239135]",2,2
48,"[0.8031282702851158, 0.6182634730903038]",2,2
49,"[0.7968119300335236, 0.6187624750566942]",2,4
50,"[0.7903834653893387, 0.6192614771649094]",2,4
51,"[0.7838241889670738, 0.6192614771649094]",3,6
52,"[0.7771714755509818, 0.6192614771649094]",4,6
53,"[0.7703879503568098, 0.6192614771649094]",5,8
54,"[0.7634736133978363, 0.6187624750566942]",6,10
55,"[0.7553632829975433, 0.6202594810267777]",7,13
56,"[0.7475519509642193, 0.620758482993168]",8,14
57,"[0.7397406189176171, 0.620758482993168]",9,17
58,"[0.7319292868842932, 0.620758482993168]",10,19
59,"[0.7241179548509692, 0.620758482993168]",11,21
60,"[0.7162879354056015, 0.620758482993168]",12,22
61,"[0.7084579159735122, 0.620758482993168]",13,26
62,"[0.7006092091426572, 0.6202594810267777]",15,28
63,"[0.6927791897105678, 0.6197604791312998]",16,31
64,"[0.6839400508248136, 0.6187624750566942]",17,34
65,"[0.675885782620817, 0.6187624750566942]",19,37
66,"[0.6678315144300986, 0.6192614771649094]",20,39
67,"[0.6597398714285712, 0.6202594810267777]",20,40
68,"[0.6516482284270437, 0.620758482993168]",22,43
69,"[0.643537898040029, 0.6212574849595585]",23,45
70,"[0.6354088802542489, 0.622255489034164]",24,47
71,"[0.6272611750564251, 0.6232534930378573]",25,49
72,"[0.6191134698718795, 0.6247504990788532]",26,51
73,"[0.6102556435873598, 0.625748503011634]",27,54
74,"[0.6021453132003451, 0.6262475049780243]",28,55
75,"[0.5941657945914104, 0.6262475049780243]",29,57
76,"[0.58629840036179, 0.6262475049780243]",30,59
77,"[0.5785618179102496, 0.625748503011634]",30,59
78,"[0.5709186724392582, 0.6252495010452436]",31,60
79,"[0.563406338759625, 0.624251496970638]",31,62
80,"[0.5560061294593062, 0.6232534930378573]",31,62
81,"[0.54871804455158, 0.6217564870677738]",31,62
82,"[0.5411496486756504, 0.6192614771649094]",31,62
83,"[0.5346651218351692, 0.6167664671202203]",32,62
84,"[0.7662954103724108, 0.5224550898703589]",2,2
85,"[0.7571198983354349, 0.5264471057433067]",2,2
86,"[0.7476640753435337, 0.5309381237953822]",2,2
87,"[0.7379466287954729, 0.5349301396683299]",2,4
88,"[0.7271453131986854, 0.5374251497130191]",3,6
89,"[0.7179698011617095, 0.5394211577204054]",4,7
90,"[0.7086447899478884, 0.540918163690489]",6,10
91,"[0.6991889669559872, 0.542415169731485]",7,13
92,"[0.6896210195847717, 0.5434131735933532]",9,17
93,"[0.6799035730234325, 0.5444111776679588]",9,17
94,"[0.6700553146972917, 0.5449101796343492]",11,21
95,"[0.6600949319785582, 0.545409181671652]",12,23
96,"[0.6499850500829794, 0.5459081836380424]",14,26
97,"[0.6386791747593594, 0.5439121755597436]",15,29
98,"[0.6282516071113244, 0.5449101796343492]",17,34
99,"[0.617936163842604, 0.545409181671652]",19,36
100,"[0.6077328449664761, 0.5464071856044327]",20,39
101,"[0.5976416504696627, 0.546906187712648]",21,41
102,"[0.5876625803521637, 0.546906187712648]",22,44
103,"[0.5778143220127446, 0.5474051896790383]",24,47
104,"[0.5680781880659183, 0.5474051896790383]",25,49
105,"[0.5584541784984064, 0.5474051896790383]",26,51
106,"[0.54871804455158, 0.548403193611819]",27,53
107,"[0.5391687845658517, 0.5474051896790383]",28,55
108,"[0.5298624607507959, 0.5464071856044327]",28,55
109,"[0.5207990731064128, 0.545409181671652]",30,58
110,"[0.511978621619424, 0.5444111776679588]",30,59
111,"[0.503419793688595, 0.5434131735933532]",31,60
112,"[0.49510390192843867, 0.5419161677650945]",31,62
113,"[0.4870309463256766, 0.5404191617240987]",31,62
114,"[0.47921961429235266, 0.5389221556121901]",32,62
115,"[0.471296157866436, 0.5384231536457998]",32,62
116,"[0.46434444609665326, 0.5374251497130191]",32,62
117,"[0.7964568694835364, 0.5893213573377643]",8,2
118,"[0.788851098810076, 0.5918163672406285]",2,2
119,"[0.781133203757301, 0.5943113772853176]",2,2
120,"[0.7733592465215079, 0.596307385292704]",2,3
121,"[0.7654918522918877, 0.5978043912627875]",2,4
122,"[0.7575310210817182, 0.5988023951955682]",3,6
123,"[0.7495141276752526, 0.5993013973037834]",4,7
124,"[0.7411234863200344, 0.5998003992701738]",6,11
125,"[0.7326767827685199, 0.6012974050984324]",7,13
126,"[0.7240432052559074, 0.602295409173038]",8,14
127,"[0.7152227537689186, 0.6032934131767312]",9,17
128,"[0.7061967409087881, 0.6042914172513368]",10,20
129,"[0.6969651666887942, 0.6052894211841175]",12,22
130,"[0.687546718494424, 0.6062874251168983]",13,26
131,"[0.6779227089269121, 0.6072854291205915]",14,28
132,"[0.6681118253850239, 0.6077844312288067]",15,30
133,"[0.6587868141712028, 0.610279441131671]",17,34
134,"[0.6492749289830053, 0.6117764471017545]",19,37
135,"[0.6398377933898697, 0.6132734531427505]",20,39
136,"[0.630494094777283, 0.614770459112834]",21,40
137,"[0.6212438331585236, 0.616267465012005]",22,44
138,"[0.6120683211215477, 0.6177644711239135]",23,45
139,"[0.6030049334638864, 0.6192614771649094]",24,48
140,"[0.5940162954012868, 0.6212574849595585]",25,49
141,"[0.585102406933749, 0.6227544910714669]",26,51
142,"[0.5756278965430824, 0.625748503011634]",27,54
143,"[0.5672746299853951, 0.625748503011634]",28,55
144,"[0.5592203617813987, 0.6252495010452436]",28,55
145,"[0.551465091944371, 0.6237524950042476]",30,59
146,"[0.5440088204477558, 0.6217564870677738]",30,59
147,"[0.536870234716875, 0.6187624750566942]",30,60
148,"[0.5300493347251722, 0.6152694610792243]",31,62
149,"[0.5235087457016728, 0.6107784430980613]",32,62
150,"[0.5172858424306296, 0.605788423150508]",32,62
151,"[0.5105770668182412, 0.6012974050984324]",32,63
152,"[0.5050269098496413, 0.5953093812180983]",32,63
153,"[0.8318321124253188, 0.5923153692070189]",8,2
154,"[0.8241889669543275, 0.5958083831844887]",2,2
155,"[0.8164150097185344, 0.5988023951955682]",2,2
156,"[0.8085102406913832, 0.6012974050984324]",2,3
157,"[0.8004746598861521, 0.6032934131767312]",2,4
158,"[0.792308267302841, 0.6047904192177272]",4,6
159,"[0.7839923755426846, 0.605788423150508]",5,9
160,"[0.7755456719911701, 0.6062874251168983]",6,11
161,"[0.7664635969480216, 0.6082834331951971]",7,13
162,"[0.7575683958659709, 0.6092814371988903]",9,17
163,"[0.7485984452021368, 0.6097804391652806]",10,18
164,"[0.739553744956519, 0.6107784430980613]",11,22
165,"[0.7304342951025614, 0.6117764471017545]",12,23
166,"[0.7212214082813329, 0.6127744511763601]",14,27
167,"[0.711952459263808, 0.6137724551091408]",15,29
168,"[0.7025900732524559, 0.614770459112834]",17,34
169,"[0.6931529376593203, 0.6157684630456147]",19,37
170,"[0.6842016743809733, 0.620758482993168]",20,38
171,"[0.6744468530353815, 0.6212574849595585]",21,41
172,"[0.6647854686703388, 0.6217564870677738]",22,44
173,"[0.6552175212991233, 0.622255489034164]",24,46
174,"[0.6457243235096912, 0.6232534930378573]",24,48
175,"[0.6363432501128519, 0.6237524950042476]",26,52
176,"[0.6270369262977962, 0.6247504990788532]",26,51
177,"[0.617805352064524, 0.6262475049780243]",28,54
178,"[0.6086859022238446, 0.6272455089817175]",28,55
179,"[0.5993608910100233, 0.6277445110899327]",29,57
180,"[0.5907273134974108, 0.6287425150227134]",30,59
181,"[0.5824487965347853, 0.6292415169181913]",30,59
182,"[0.5745066527101031, 0.6297405188845817]",31,62
183,"[0.5669195694354081, 0.6292415169181913]",31,62
184,"[0.5596688593119347, 0.6282435130563231]",32,62
185,"[0.5527545223529611, 0.6272455089817175]",32,62
186,"[0.546195245917418, 0.6252495010452436]",32,62
187,"[0.5399723426463748, 0.6227544910714669]",32,62
188,"[0.8435864852661966, 0.5479041916454287]",8,15
189,"[0.8352332187085093, 0.548403193611819]",2,2
190,"[0.826786515170273, 0.5489021955782094]",2,2
191,"[0.8182276872394441, 0.5494011976155122]",2,3
192,"[0.8095567349293007, 0.5503992016901178]",3,4
193,"[0.8007923456386082, 0.5508982036565082]",4,6
194,"[0.7918971445565577, 0.5518962076602013]",6,8
195,"[0.782908506493958, 0.5533932135593724]",6,11
196,"[0.773807744052044, 0.5543912175630656]",7,13
197,"[0.7641837344845321, 0.556387225570452]",9,16
