index,unit2_pos,unit1_beam_32,unit1_beam_64
4149,"[0.3810360292916876, 0.4560878244402564]",12,10
2305,"[0.6823516220625327, 0.6467065868764531]",4,8
5098,"[0.24768276274893833, 0.7539920159615884]",14,26
998,"[0.6097137090762748, 0.48103792410711094]",29,57
3101,"[0.6256353714966134, 0.798403193594091]",6,11
3045,"[0.4741553296385414, 0.7485029940476445]",31,62
3268,"[0.4214755568872813, 0.6671656687039694]",31,62
3254,"[0.5154171027001454, 0.6272455089817175]",22,44
3266,"[0.433043055767061, 0.6631736526891968]",30,60
764,"[0.6298587232723707, 0.7979041916277005]",3,6
5185,"[0.34594109731810874, 0.5928143713152341]",16,31
3683,"[0.48088279263641703, 0.8992015967615893]",4,7
1574,"[0.7828150695134091, 0.6836327345167131]",18,34
4577,"[0.6044999252456181, 0.39720558886057156]",28,55
309,"[0.7142136343152538, 0.6492015967793173]",16,32
4601,"[0.6573852593832982, 0.32185628746814304]",13,25
1892,"[0.715372252945764, 0.6322355289292708]",15,29
2050,"[0.6849491702784783, 0.8093812375638033]",4,6
1405,"[0.7659029750248928, 0.6796407185728529]",18,34
3680,"[0.5006353714982732, 0.8982035928288086]",2,4
3773,"[0.426745402900956, 0.6891217565015694]",14,27
1652,"[0.6822768724807492, 0.6317365269628805]",30,59
2378,"[0.441788757658988, 0.7420159680590952]",31,62
170,"[0.6842016743809733, 0.620758482993168]",20,38
2949,"[0.7651741665394315, 0.5474051896790383]",2,2
4253,"[0.495346838085833, 0.5688622754393354]",3,5
269,"[0.785169681558682, 0.6551896208014764]",9,16
2346,"[0.6546755867747599, 0.7125748503401652]",6,11
2499,"[0.19875915681757753, 0.5109780439342562]",20,40
3647,"[0.457093735986458, 0.7594810378755321]",11,20
3068,"[0.6161421737204597, 0.690119760576175]",15,29
384,"[0.7676782777615498, 0.6896207584679598]",6,11
1885,"[0.7660524742017382, 0.6217564870677738]",8,14
344,"[0.7065704888575406, 0.5648702594954752]",11,22
5093,"[0.2733405591293816, 0.7574850300099707]",9,17
2399,"[0.49060023919775614, 0.7604790419501377]",9,17
3664,"[0.3220959784718534, 0.7794411177366581]",28,55
286,"[0.6220287038402813, 0.6691616766404433]",28,55
2000,"[0.4404993272503979, 0.6786427144982473]",32,62
4486,"[0.424129167286245, 0.3677644710707291]",15,29
1118,"[0.49998131259459544, 0.7839321357178212]",18,34
80,"[0.5560061294593062, 0.6232534930378573]",31,62
3058,"[0.6862759754845993, 0.6791417166064626]",6,11
1538,"[0.7197077291008357, 0.7405189620890117]",26,51
5028,"[0.36053595454560466, 0.5294411177543862]",28,55
1376,"[0.6600949319785582, 0.6886227544642666]",30,59
575,"[0.8380737030951275, 0.6856287425950119]",8,2
3344,"[0.4938705337161449, 0.6801397206101557]",17,33
1910,"[0.5970997159452993, 0.6551896208014764]",30,59
3384,"[0.5020556136982214, 0.7215568862315789]",11,22
1577,"[0.7598108835319295, 0.6861277445614024]",21,40
1601,"[0.9254559724857269, 0.6551896208014764]",2,3
3732,"[0.4476752877788096, 0.8582834331065565]",11,21
5285,"[0.24945806548559535, 0.6232534930378573]",28,55
882,"[0.5258072955506495, 0.8712574850836552]",14,26
126,"[0.7240432052559074, 0.602295409173038]",8,14
3436,"[0.46391463596488264, 0.7884231536280717]",19,37
235,"[0.7320414112636077, 0.585329341393904]",11,21
3661,"[0.3445395425302042, 0.7784431138038773]",25,49
608,"[0.6494618029573815, 0.6656686627338859]",24,47
387,"[0.7459635222019385, 0.690119760576175]",8,16
4876,"[0.4027507848645771, 0.5074850299567863]",31,62
900,"[0.42397966810939963, 0.8542914172336087]",28,55
367,"[0.5751420242150155, 0.5703592815512438]",30,59
3017,"[0.6192816564474903, 0.7130738523065556]",14,27
3598,"[0.530796830609399, 0.6896207584679598]",3,5
2734,"[0.671849304819436, 0.7954091816539238]",4,6
5859,"[0.46535356555031804, 0.1896207584325035]",14,26
4733,"[0.4763417551214818, 0.35578842316823606]",19,36
1027,"[0.7011511436670205, 0.5658682634991684]",14,27
4804,"[0.5729555987453533, 0.37475049895475643]",2,3
137,"[0.6212438331585236, 0.616267465012005]",22,44
4116,"[0.5957729107524565, 0.4520958083545713]",6,11
4643,"[0.5286851547347986, 0.41516966064339883]",22,43
2327,"[0.4868066975670477, 0.6806387225765461]",30,59
1833,"[0.7646509194138336, 0.6841317365540159]",4,7
4132,"[0.49022649124900364, 0.45459081839926047]",20,39
2624,"[0.6820713111076075, 0.7385229540816254]",22,42
1386,"[0.9140753475803234, 0.6561876247342571]",2,2
5434,"[0.42810958289132967, 0.49900199603176304]",2,4
5870,"[0.380998654507435, 0.19860279446574203]",24,48
4480,"[0.4664374345857664, 0.36377245512686895]",9,17
2286,"[0.4528330094131699, 0.8622754491922416]",28,55
1677,"[0.8189004335418872, 0.787425149695291]",12,24
5744,"[0.3753550605450077, 0.2969061875885512]",21,41
1380,"[0.6373336821677513, 0.6836327345167131]",31,62
5854,"[0.5037935416373476, 0.18562874248864328]",8,15
3328,"[0.605247421129845, 0.6521956087903968]",2,3
3601,"[0.5116048736706715, 0.6906187625425654]",6,11
5398,"[0.30568844371016957, 0.5548902195294559]",12,24
4293,"[0.27016370159154185, 0.596307385292704]",32,62
3182,"[0.5507923456419278, 0.848802395319665]",2,2
1476,"[0.8812415906714685, 0.5838323352819956]",3,5
2471,"[0.1362871879231947, 0.760978043916528]",32,63
581,"[0.8052399461729944, 0.6866267464568803]",3,4
1760,"[0.6682426371631038, 0.7145708583475516]",12,24
302,"[0.7882344147039291, 0.636227544873131]",6,11
2869,"[0.857620720583842, 0.9176646706526317]",7,12
2194,"[0.45083345791788393, 0.7714570859198501]",32,62
148,"[0.5300493347251722, 0.6152694610792243]",31,62
3845,"[0.5608835401387412, 0.7544910179279787]",2,3
3475,"[0.44036851547231803, 0.8348303394097856]",14,27
3854,"[0.496094333983338, 0.7674650699759898]",9,18
3004,"[0.6838092390467336, 0.7035928143778392]",5,8
