index,unit1_rgb,unit1_pwr_60ghz,unit1_loc,unit2_loc,,unit1_beam_index,seq_index,time_stamp[UTC],unit2_direction,unit2_num_sat,unit2_sat_used,unit2_fix_type,unit2_DGPS,unit2_PDOP,unit2_HDOP
1,./unit1/camera_data/image_BS1_259_03_20_31.jpg,./unit1/mmWave_data/mmWave_power_0.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_0.txt,,60,1,['03-20-31-142'],1,21,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25,3D,Yes,1.1,0.6
2,./unit1/camera_data/image_BS1_260_03_20_31.jpg,./unit1/mmWave_data/mmWave_power_1.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_1.txt,,60,1,['03-20-31-284'],1,24,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25 B27 B28 B30,3D,Yes,1.1,0.6
3,./unit1/camera_data/image_BS1_261_03_20_31.jpg,./unit1/mmWave_data/mmWave_power_2.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_2.txt,,58,1,['03-20-31-426'],1,14,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22,3D,Yes,1.1,0.6
4,./unit1/camera_data/image_BS1_262_03_20_31.jpg,./unit1/mmWave_data/mmWave_power_3.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_3.txt,,59,1,['03-20-31-568'],1,21,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25,3D,Yes,1.1,0.6
5,./unit1/camera_data/image_BS1_263_03_20_31.jpg,./unit1/mmWave_data/mmWave_power_4.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_4.txt,,60,1,['03-20-31-710'],1,21,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25,3D,Yes,1.1,0.6
6,./unit1/camera_data/image_BS1_264_03_20_31.jpg,./unit1/mmWave_data/mmWave_power_5.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_5.txt,,57,1,['03-20-31-852'],1,14,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22,3D,Yes,1.1,0.6
7,./unit1/camera_data/image_BS1_265_03_20_32.jpg,./unit1/mmWave_data/mmWave_power_6.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_6.txt,,59,1,['03-20-32-0'],1,24,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25 B27 B28 B30,3D,Yes,1.1,0.6
8,./unit1/camera_data/image_BS1_267_03_20_32.jpg,./unit1/mmWave_data/mmWave_power_7.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_7.txt,,57,1,['03-20-32-142'],1,21,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25,3D,Yes,1.1,0.6
9,./unit1/camera_data/image_BS1_268_03_20_32.jpg,./unit1/mmWave_data/mmWave_power_8.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_8.txt,,55,1,['03-20-32-284'],1,21,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25,3D,Yes,1.1,0.6
10,./unit1/camera_data/image_BS1_269_03_20_32.jpg,./unit1/mmWave_data/mmWave_power_9.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_9.txt,,55,1,['03-20-32-426'],1,21,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25,3D,Yes,1.1,0.6
11,./unit1/camera_data/image_BS1_270_03_20_32.jpg,./unit1/mmWave_data/mmWave_power_10.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_10.txt,,55,1,['03-20-32-568'],1,21,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25,3D,Yes,1.1,0.6
12,./unit1/camera_data/image_BS1_271_03_20_32.jpg,./unit1/mmWave_data/mmWave_power_11.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_11.txt,,55,1,['03-20-32-710'],1,14,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22,3D,Yes,1.1,0.6
13,./unit1/camera_data/image_BS1_272_03_20_32.jpg,./unit1/mmWave_data/mmWave_power_12.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_12.txt,,55,1,['03-20-32-852'],1,14,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22,3D,Yes,1.1,0.6
14,./unit1/camera_data/image_BS1_273_03_20_33.jpg,./unit1/mmWave_data/mmWave_power_13.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_13.txt,,55,1,['03-20-33-0'],1,21,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25,3D,Yes,1.1,0.6
15,./unit1/camera_data/image_BS1_274_03_20_33.jpg,./unit1/mmWave_data/mmWave_power_14.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_14.txt,,55,1,['03-20-33-125'],1,21,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25,3D,Yes,1.1,0.6
16,./unit1/camera_data/image_BS1_275_03_20_33.jpg,./unit1/mmWave_data/mmWave_power_15.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_15.txt,,51,1,['03-20-33-250'],1,24,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25 B27 B28 B30,3D,Yes,1.1,0.6
17,./unit1/camera_data/image_BS1_276_03_20_33.jpg,./unit1/mmWave_data/mmWave_power_16.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_16.txt,,54,1,['03-20-33-375'],1,14,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22,3D,Yes,1.1,0.6
18,./unit1/camera_data/image_BS1_277_03_20_33.jpg,./unit1/mmWave_data/mmWave_power_17.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_17.txt,,51,1,['03-20-33-500'],1,21,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25,3D,Yes,1.1,0.6
19,./unit1/camera_data/image_BS1_278_03_20_33.jpg,./unit1/mmWave_data/mmWave_power_18.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_18.txt,,51,1,['03-20-33-625'],1,24,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25 B27 B28 B30,3D,Yes,1.1,0.6
20,./unit1/camera_data/image_BS1_279_03_20_33.jpg,./unit1/mmWave_data/mmWave_power_19.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_19.txt,,51,1,['03-20-33-750'],1,14,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22,3D,Yes,1.1,0.6
21,./unit1/camera_data/image_BS1_280_03_20_33.jpg,./unit1/mmWave_data/mmWave_power_20.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_20.txt,,51,1,['03-20-33-875'],1,14,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22,3D,Yes,1.1,0.6
22,./unit1/camera_data/image_BS1_281_03_20_34.jpg,./unit1/mmWave_data/mmWave_power_21.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_21.txt,,51,1,['03-20-34-0'],1,24,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25 B27 B28 B30,3D,Yes,1.1,0.6
23,./unit1/camera_data/image_BS1_282_03_20_34.jpg,./unit1/mmWave_data/mmWave_power_22.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_22.txt,,52,1,['03-20-34-142'],1,21,G2 G5 G12 G18 G25 G29 R5 R6 R7 R10 R12 R20 R21 R22 E2 E4 E11 E12 E19 E24 E25,3D,Yes,1.2,0.6
